contig,synthCount,contigOrthoCount,contigLength,geneDensity,contigOrthoCount>2,geneDensity>=0.000003,maxValue>=40%contigOrthoCount,X,2L,2R,3L,3R,4,Y,allocation
tig00002887,191,89,5452059,1.63241E-05,YES,YES,NO,2.113710623,0.228479237,19.25002685,0.361275641,0.366355543,0,0,2R
tig00009920,23,1,35379,2.82654E-05,NO,YES,NO,0,0.090909091,0,0,0,0,0,NALL
tig00010008,23,1,42648,2.34478E-05,NO,YES,NO,0,0.090909091,0,0,0,0,0,NALL
tig00010095,23,1,115419,8.66408E-06,NO,YES,NO,0,0.090909091,0,0,0,0,0,NALL
tig00004174,6,2,64247,3.11299E-05,NO,YES,NO,0.166666667,0.083333333,0,0,0,0,0,NALL
tig00003251,4,1,41491,2.41016E-05,NO,YES,NO,0.027777778,0.083333333,0,0,0,0,0,NALL
tig00009497,4,1,23252,4.30071E-05,NO,YES,NO,0.027777778,0.083333333,0,0,0,0,0,NALL
tig00006073,2,1,40748,2.45411E-05,NO,YES,NO,0,0.083333333,0,0,0.083333333,0,0,NALL
tig00000631,3,1,32765,3.05204E-05,NO,YES,NO,0,0.083333333,0,0,0,0,0,NALL
tig00006620,3,1,35296,2.83318E-05,NO,YES,NO,0,0.083333333,0,0,0,0,0,NALL
tig00009647,10,8,882350,9.0667E-06,YES,YES,NO,1.41025641,0.076923077,0,0,0,0,0,NALL
tig00009656,141,74,3160896,2.34111E-05,YES,YES,NO,0.317528736,0.963362069,19.7165572,0.03505405,1.837934455,0,0,2R
tig00009394,223,89,7797895,1.14133E-05,YES,YES,NO,0.113311688,0.074487407,23.84345992,0.60625,0.209190115,0,0,2R
tig00009337,232,101,5619491,1.79732E-05,YES,YES,NO,1.613710623,0.232337262,24.31404444,1.386916667,0.377929617,0,0,2R
tig00003851,151,76,2622400,2.89811E-05,YES,YES,NO,1.788888889,1.13974359,27.17286325,0.68974359,1.215079365,0.5,0,2R
tig00003565,318,78,1794471,4.34668E-05,YES,YES,NO,0.005785146,0.326258894,27.40786367,0.34274239,0.081895078,0.5,0,2R
tig00003750,106,81,3021024,2.68121E-05,YES,YES,YES,0.866666667,0,35.3667756,1.526034858,0.348148148,0.166666667,0,2R
tig00003382,196,92,4958071,1.85556E-05,YES,YES,NO,0.582738095,1.4385183,36.35651374,1.518823529,3.058968254,0,0,2R
tig00003587,136,91,4114346,2.21177E-05,YES,YES,YES,2.570039683,0.685119048,42.50350529,2.024074074,1.272156085,0,0,2R
tig00002647,668,197,9998774,1.97024E-05,YES,YES,NO,1.015525949,0.714942708,54.47933735,2.285274699,2.703310985,0,0.015625,2R
tig00001423,484,237,26587389,8.914E-06,YES,YES,NO,0.758380388,2.37675543,64.47694908,3.217106951,1.728057746,0.5,0,2R
tig00002755,409,237,8188129,2.89443E-05,YES,YES,NO,3.750155428,4.098863636,92.88827117,3.391350427,1.6990275,0,0,2R
tig00009184,1197,293,11635940,2.51806E-05,YES,YES,YES,4.641215358,2.435481092,120.5672151,3.027430232,2.126854849,0.5,0,2R
tig00003742,6,4,437070,9.15185E-06,YES,YES,NO,0.41025641,0.076923077,0,0,0,0,0,NALL
tig00004349,4,2,274299,7.29131E-06,NO,YES,NO,0.076923077,0.076923077,0,0,0,0,0,NALL
tig00006333,2,2,60578,3.30153E-05,NO,YES,NO,0,0.071428571,0,0,0,0,0,NALL
tig00009795,2,2,14831,0.000134853,NO,YES,NO,0,0.071428571,0,0,0,0,0,NALL
tig00009908,25,1,34539,2.89528E-05,NO,YES,NO,0.002857143,0.068571429,0,0,0,0,0,NALL
tig00009956,25,1,15606,6.40779E-05,NO,YES,NO,0.002857143,0.068571429,0,0,0,0,0,NALL
tig00009957,25,1,21277,4.69991E-05,NO,YES,NO,0.002857143,0.068571429,0,0,0,0,0,NALL
tig00009958,25,1,80581,1.24099E-05,NO,YES,NO,0.002857143,0.068571429,0,0,0,0,0,NALL
tig00009961,25,1,33092,3.02188E-05,NO,YES,NO,0.002857143,0.068571429,0,0,0,0,0,NALL
tig00010062,25,1,21142,4.72992E-05,NO,YES,NO,0.002857143,0.068571429,0,0,0,0,0,NALL
tig00001220,1,1,33875,2.95203E-05,NO,YES,NO,0,0.066666667,0,0,0,0,0,NALL
tig00001225,1,1,34117,2.93109E-05,NO,YES,NO,0,0.066666667,0,0,0,0,0,NALL
tig00005811,1,1,62245,1.60655E-05,NO,YES,NO,0,0.066666667,0,0,0,0,0,NALL
tig00003108,8,2,32000,0.0000625,NO,YES,NO,0,0.060606061,0,0,0,0,0,NALL
tig00004474,6,1,26423,3.78458E-05,NO,YES,NO,0.011904762,0.05952381,0,0,0,0,0,NALL
tig00006334,6,1,67990,1.4708E-05,NO,YES,NO,0.011904762,0.05952381,0,0,0,0,0,NALL
tig00009020,2,1,20602,4.8539E-05,NO,YES,NO,0,0.055555556,0,0,0.055555556,0,0,NALL
tig00009297,1,1,30921,3.23405E-05,NO,YES,NO,0,0.052631579,0,0,0,0,0,NALL
tig00005851,2,1,66127,1.51224E-05,NO,YES,NO,0.05,0.05,0,0,0,0,0,NALL
tig00004402,6,3,48419,6.19591E-05,YES,YES,NO,0,0.05,0,0,0.983333333,0,0,NALL
tig00000287,24,2,30049,6.6558E-05,NO,YES,NO,0,0.045548654,0,0,0.335403727,0,0,NALL
tig00002884,23,1,22742,4.39715E-05,NO,YES,NO,0,0.045548654,0,0,0.002070393,0,0,NALL
tig00004554,23,1,41341,2.41891E-05,NO,YES,NO,0,0.045548654,0,0,0.002070393,0,0,NALL
tig00004668,23,1,37457,2.66973E-05,NO,YES,NO,0,0.045548654,0,0,0.002070393,0,0,NALL
tig00004690,23,1,221212,4.52055E-06,NO,YES,NO,0,0.045548654,0,0,0.002070393,0,0,NALL
tig00004722,23,1,42106,2.37496E-05,NO,YES,NO,0,0.045548654,0,0,0.002070393,0,0,NALL
tig00004796,23,1,35623,2.80718E-05,NO,YES,NO,0,0.045548654,0,0,0.002070393,0,0,NALL
tig00004894,23,1,112069,8.92307E-06,NO,YES,NO,0,0.045548654,0,0,0.002070393,0,0,NALL
tig00005154,23,1,175373,5.70213E-06,NO,YES,NO,0,0.045548654,0,0,0.002070393,0,0,NALL
tig00005703,23,1,100018,9.9982E-06,NO,YES,NO,0,0.045548654,0,0,0.002070393,0,0,NALL
tig00007724,23,1,31807,3.14396E-05,NO,YES,NO,0,0.045548654,0,0,0.002070393,0,0,NALL
tig00009926,23,1,35131,2.84649E-05,NO,YES,NO,0,0.045548654,0,0,0.002070393,0,0,NALL
tig00009996,23,1,32054,3.11974E-05,NO,YES,NO,0,0.045548654,0,0,0.002070393,0,0,NALL
tig00010043,23,1,65783,1.52015E-05,NO,YES,NO,0,0.045548654,0,0,0.002070393,0,0,NALL
tig00003533,6,5,36005,0.00013887,YES,YES,NO,0,0.045454545,0,0,1.545454545,0,0,NALL
tig00001911,2,1,35367,2.82749E-05,NO,YES,NO,0,0.045454545,0,0,0.045454545,0,0,NALL
tig00009946,2,1,603102,1.65809E-06,NO,NO,NO,0,0.045454545,0,0,0.045454545,0,0,NALL
tig00002166,6,1,35799,2.79337E-05,NO,YES,NO,0,0.041666667,0,0,0.208333333,0,0,NALL
tig00009646,2,1,245223,4.07792E-06,NO,YES,NO,0.038461538,0.038461538,0,0,0,0,0,NALL
tig00009800,1,1,31353,3.18949E-05,NO,YES,NO,0,0.035714286,0,0,0,0,0,NALL
tig00005833,49,7,85929,8.14626E-05,YES,YES,NO,0.151515152,0.03030303,0,0,0.03030303,0,0,NALL
tig00003105,4,1,32024,3.12266E-05,NO,YES,NO,0,0.03030303,0,0,0,0,0,NALL
tig00009644,4,3,207259,1.44746E-05,YES,YES,NO,1,0.019607843,0,0,0,0,0,NALL
tig00004736,2,1,24422,4.09467E-05,NO,YES,NO,0,0.019607843,0,0,0,0,0,NALL
tig00009442,2,1,23194,4.31146E-05,NO,YES,NO,0,0.019607843,0,0,0,0,0,NALL
tig00001210,7,1,62264,1.60606E-05,NO,YES,NO,0.021645022,0.004329004,0,0,0.004329004,0,0,NALL
tig00001214,7,1,30773,3.2496E-05,NO,YES,NO,0.021645022,0.004329004,0,0,0.004329004,0,0,NALL
tig00001935,13,10,1194377,8.37257E-06,YES,YES,NO,2.5,0,0,0,0.6,0,0,NALL
tig00000443,4,4,46725,8.56073E-05,YES,YES,YES,2,0,0,0,0.5,0,0,NALL
tig00000883,4,4,166984,2.39544E-05,YES,YES,YES,2,0,0,0,0,0,0,NALL
tig00004080,5,5,141811,3.52582E-05,YES,YES,NO,2,0,0,0,0,0,0,NALL
tig00001244,8,7,782307,8.94789E-06,YES,YES,NO,1.933333333,0,0,0,0,0,0,NALL
tig00005312,4,4,114033,3.50776E-05,YES,YES,YES,1.75,0,0,0,0,0,0,NALL
tig00009811,6,5,1340092,3.73109E-06,YES,YES,NO,1.7,0,0,0,0,0,0,NALL
tig00008876,4,4,109460,3.6543E-05,YES,YES,NO,1.5,0,0,0,1,0,0,NALL
tig00002974,3,3,45951,6.52869E-05,YES,YES,YES,1.5,0,0,0,0,0,0,NALL
tig00004470,4,4,29748,0.000134463,YES,YES,NO,1.333333333,0,0,0,0,0,0,NALL
tig00005147,3,3,149946,2.00072E-05,YES,YES,YES,1.25,0,0,0,0,0,0,NALL
tig00001693,5,4,39723,0.000100697,YES,YES,NO,1.166666667,0,0,0,0.166666667,0,0,NALL
tig00001296,7,5,41224,0.000121289,YES,YES,NO,1.166666667,0,0,0,0.142857143,0,0,NALL
tig00004341,3,3,173287,1.73123E-05,YES,YES,NO,1.166666667,0,0,0,0,0,0,NALL
tig00005543,3,3,74379,4.0334E-05,YES,YES,NO,1.166666667,0,0,0,0,0,0,NALL
tig00001350,7,5,253970,1.96874E-05,YES,YES,NO,1.125,0,0,0,0.125,0,0,NALL
tig00001086,3,3,58113,5.16236E-05,YES,YES,NO,1.083333333,0,0,0,0,0,0,NALL
tig00005591,3,3,73100,4.10397E-05,YES,YES,NO,1,0,0,0,0.333333333,0,0,NALL
tig00000408,2,2,87993,2.27291E-05,NO,YES,YES,1,0,0,0,0,0,0,NALL
tig00000450,2,2,88806,2.2521E-05,NO,YES,YES,1,0,0,0,0,0,0,NALL
tig00002346,3,3,31292,9.58711E-05,YES,YES,NO,1,0,0,0,0,0,0,NALL
tig00002983,2,2,69743,2.86767E-05,NO,YES,YES,1,0,0,0,0,0,0,NALL
tig00004081,3,3,35913,8.35352E-05,YES,YES,NO,1,0,0,0,0,0,0,NALL
tig00004113,2,2,37365,5.3526E-05,NO,YES,YES,1,0,0,0,0,0,0,NALL
tig00005870,3,3,60853,4.92991E-05,YES,YES,NO,1,0,0,0,0,0,0,NALL
tig00006080,2,2,50004,3.99968E-05,NO,YES,YES,1,0,0,0,0,0,0,NALL
tig00006702,2,2,40122,4.9848E-05,NO,YES,YES,1,0,0,0,0,0,0,NALL
tig00008537,2,2,32998,6.06097E-05,NO,YES,YES,1,0,0,0,0,0,0,NALL
tig00009345,1,1,318794,3.13682E-06,NO,YES,YES,1,0,0,0,0,0,0,NALL
tig00008529,4,3,67728,4.42948E-05,YES,YES,NO,0.916666667,0,0,0,0.25,0,0,NALL
tig00000406,2,2,29434,6.79486E-05,NO,YES,YES,0.833333333,0,0,0,0,0,0,NALL
tig00000578,2,2,44195,4.5254E-05,NO,YES,YES,0.833333333,0,0,0,0,0,0,NALL
tig00004371,2,2,1305876,1.53154E-06,NO,NO,YES,0.833333333,0,0,0,0,0,0,NALL
tig00006172,2,2,68479,2.9206E-05,NO,YES,YES,0.833333333,0,0,0,0,0,0,NALL
tig00005857,5,4,91230,4.38452E-05,YES,YES,NO,0.805555556,0,0,0,0,0,0,NALL
tig00008802,4,3,330132,9.08727E-06,YES,YES,NO,0.75,0,0,0,0,0,0,NALL
tig00001656,4,2,37365,5.3526E-05,NO,YES,NO,0.7,0,0,0,0,0,0,NALL
tig00000430,2,2,27671,7.22778E-05,NO,YES,NO,0.666666667,0,0,0,0,0,0,NALL
tig00000452,2,2,36832,5.43006E-05,NO,YES,NO,0.666666667,0,0,0,0,0,0,NALL
tig00004764,2,2,35953,5.56282E-05,NO,YES,NO,0.666666667,0,0,0,0,0,0,NALL
tig00007953,2,2,18784,0.000106474,NO,YES,NO,0.666666667,0,0,0,0,0,0,NALL
tig00009953,2,2,422542,4.73326E-06,NO,YES,NO,0.666666667,0,0,0,0,0,0,NALL
tig00000151,3,2,33917,5.89675E-05,NO,YES,NO,0.625,0,0,0,0.125,0,0,NALL
tig00004176,3,2,44950,4.44939E-05,NO,YES,NO,0.583333333,0,0,0,0,0,0,NALL
tig00001629,2,2,38457,5.20061E-05,NO,YES,NO,0.533333333,0,0,0,0,0,0,NALL
tig00000583,3,3,43952,6.82563E-05,YES,YES,NO,0.515151515,0,0,0,0,0,0,NALL
tig00004377,11,7,101701,6.88292E-05,YES,YES,NO,0.5,0,0,0,1.307692308,0,0,NALL
tig00000185,3,3,23175,0.00012945,YES,YES,NO,0.5,0,0,0,1,0,0,NALL
tig00008887,3,3,152450,1.96786E-05,YES,YES,NO,0.5,0,0,0,1,0,0,NALL
tig00004310,3,2,42011,4.76066E-05,NO,YES,NO,0.5,0,0,0,0.166666667,0,0,NALL
tig00006357,2,2,46412,4.30923E-05,NO,YES,NO,0.5,0,0,0,0.071428571,0,0,NALL
tig00000361,1,1,63825,1.56678E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00000387,1,1,54006,1.85165E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00000389,1,1,52258,1.91358E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00000411,1,1,47752,2.09415E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00000417,1,1,42508,2.3525E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00000585,1,1,31987,3.12627E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00000598,1,1,41912,2.38595E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00000633,1,1,85836,1.16501E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00000648,1,1,41028,2.43736E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00000664,1,1,46242,2.16254E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00000676,1,1,41993,2.38135E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00000678,1,1,40782,2.45206E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00001236,6,6,108962,5.50651E-05,YES,YES,NO,0.5,0,0,0,0,0,0,NALL
tig00001258,1,1,30856,3.24086E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00001281,1,1,45728,2.18684E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00001669,1,1,31632,3.16136E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00002345,1,1,46026,2.17269E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00002605,1,1,122584,8.15767E-06,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00002957,1,1,36372,2.74937E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00003556,1,1,31795,3.14515E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00004030,1,1,42496,2.35316E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00004134,1,1,37200,2.68817E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00004139,4,2,44873,4.45702E-05,NO,YES,NO,0.5,0,0,0,0,0,0,NALL
tig00004199,1,1,24829,4.02755E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00004268,1,1,290210,3.44578E-06,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00004314,1,1,62171,1.60847E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00004534,1,1,266010,3.75926E-06,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00004683,1,1,278572,3.58974E-06,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00004825,2,1,286179,3.49432E-06,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00004953,1,1,209499,4.77329E-06,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00005064,1,1,133458,7.49299E-06,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00005073,1,1,183579,5.44725E-06,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00005256,1,1,119271,8.38427E-06,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00005450,1,1,70133,1.42586E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00005505,1,1,91947,1.08758E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00005604,1,1,51562,1.93941E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00005658,1,1,77797,1.2854E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00005739,1,1,73592,1.35884E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00005886,2,1,76447,1.3081E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00005929,1,1,40049,2.49694E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00006353,1,1,58289,1.71559E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00006522,1,1,47566,2.10234E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00007093,1,1,39077,2.55905E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00008534,1,1,63156,1.58338E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00008539,1,1,50115,1.99541E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00008552,1,1,30292,3.3012E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00008620,1,1,33498,2.98525E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00008807,1,1,214295,4.66646E-06,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00009447,1,1,33108,3.02042E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00009831,1,1,72318,1.38278E-05,NO,YES,YES,0.5,0,0,0,0,0,0,NALL
tig00002949,2,2,32993,6.06189E-05,NO,YES,NO,0.4,0,0,0,0,0,0,NALL
tig00003753,2,2,92024,2.17335E-05,NO,YES,NO,0.4,0,0,0,0,0,0,NALL
tig00003107,3,3,33242,9.02473E-05,YES,YES,NO,0.375,0,0,0,0,0,0,NALL
tig00005300,4,4,135749,2.94661E-05,YES,YES,NO,0.363636364,0,0,0,0,0,0,NALL
tig00008482,10,10,226064,4.42353E-05,YES,YES,NO,0.333333333,0,0,0,1,0,0,NALL
tig00002941,2,2,31010,6.44953E-05,NO,YES,NO,0.333333333,0,0,0,0.333333333,0,0,NALL
tig00002504,11,6,337624,1.77712E-05,YES,YES,NO,0.333333333,0,0,0,0.12195122,0,0,NALL
tig00008123,3,2,27432,7.29076E-05,NO,YES,NO,0.333333333,0,0,0,0.024390244,0,0,NALL
tig00000420,1,1,46273,2.16109E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00000461,1,1,31595,3.16506E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00000570,1,1,35875,2.78746E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00000594,1,1,33543,2.98125E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00000650,1,1,38593,2.59114E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00000867,1,1,40675,2.45851E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00001190,1,1,36707,2.72428E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00001298,1,1,32950,3.0349E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00001329,1,1,42787,2.33716E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00001642,1,1,30049,3.3279E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00001643,1,1,33998,2.94135E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00001657,1,1,29116,3.43454E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00001692,1,1,27005,3.70302E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00002101,1,1,150890,6.62734E-06,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00002357,1,1,33670,2.97E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00002699,2,2,44911,4.45325E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00002769,1,1,27799,3.59725E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00003043,1,1,36380,2.74876E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00003095,1,1,35276,2.83479E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00003730,2,1,37362,2.67652E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00004076,1,1,39625,2.52366E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00004258,1,1,32379,3.08842E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00004304,1,1,809309,1.23562E-06,NO,NO,NO,0.333333333,0,0,0,0,0,0,NALL
tig00004363,1,1,33482,2.98668E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00004475,1,1,71075,1.40696E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00004523,1,1,24616,4.0624E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00004658,1,1,281712,3.54972E-06,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00004838,1,1,256034,3.90573E-06,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00005193,1,1,136798,7.31005E-06,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00005357,1,1,151611,6.59583E-06,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00005508,1,1,86246,1.15947E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00005561,1,1,112047,8.92483E-06,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00005796,1,1,70039,1.42778E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00005844,1,1,76841,1.30139E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00006533,1,1,38657,2.58685E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00008553,1,1,33227,3.0096E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00008823,1,1,40032,2.498E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00008824,1,1,39834,2.51042E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00008946,1,1,34778,2.87538E-05,NO,YES,NO,0.333333333,0,0,0,0,0,0,NALL
tig00009916,1,1,375231,2.66503E-06,NO,NO,NO,0.333333333,0,0,0,0,0,0,NALL
tig00003792,5,5,40066,0.000124794,YES,YES,NO,0.25,0,0,0,2,0,0,NALL
tig00005689,2,1,62411,1.60228E-05,NO,YES,NO,0.25,0,0,0,0.25,0,0,NALL
tig00000677,1,1,41163,2.42937E-05,NO,YES,NO,0.25,0,0,0,0,0,0,NALL
tig00003478,1,1,35035,2.85429E-05,NO,YES,NO,0.25,0,0,0,0,0,0,NALL
tig00004672,2,2,242138,8.25975E-06,NO,YES,NO,0.25,0,0,0,0,0,0,NALL
tig00004871,2,2,263833,7.58055E-06,NO,YES,NO,0.25,0,0,0,0,0,0,NALL
tig00005383,1,1,116910,8.55359E-06,NO,YES,NO,0.25,0,0,0,0,0,0,NALL
tig00005528,1,1,85392,1.17107E-05,NO,YES,NO,0.25,0,0,0,0,0,0,NALL
tig00005863,1,1,67610,1.47907E-05,NO,YES,NO,0.25,0,0,0,0,0,0,NALL
tig00007885,1,1,34224,2.92193E-05,NO,YES,NO,0.25,0,0,0,0,0,0,NALL
tig00008205,1,1,22574,4.42988E-05,NO,YES,NO,0.25,0,0,0,0,0,0,NALL
tig00008634,1,1,33645,2.97221E-05,NO,YES,NO,0.25,0,0,0,0,0,0,NALL
tig00008943,1,1,24992,4.00128E-05,NO,YES,NO,0.25,0,0,0,0,0,0,NALL
tig00009150,1,1,33019,3.02856E-05,NO,YES,NO,0.25,0,0,0,0,0,0,NALL
tig00009163,1,1,21837,4.57938E-05,NO,YES,NO,0.25,0,0,0,0,0,0,NALL
tig00009164,1,1,27164,3.68134E-05,NO,YES,NO,0.25,0,0,0,0,0,0,NALL
tig00009918,1,1,101449,9.85717E-06,NO,YES,NO,0.25,0,0,0,0,0,0,NALL
tig00001641,4,4,42504,9.41088E-05,YES,YES,NO,0.235294118,0,0,0,0,0,0,NALL
tig00005459,108,9,104920,8.57796E-05,YES,YES,NO,0.211538462,0,0,0,0.019230769,0,0,NALL
tig00001207,1,1,45728,2.18684E-05,NO,YES,NO,0.2,0,0,0,0,0,0,NALL
tig00002282,2,2,34281,5.83414E-05,NO,YES,NO,0.2,0,0,0,0,0,0,NALL
tig00004977,1,1,240977,4.14977E-06,NO,YES,NO,0.2,0,0,0,0,0,0,NALL
tig00005153,1,1,167683,5.96363E-06,NO,YES,NO,0.2,0,0,0,0,0,0,NALL
tig00005433,1,1,101183,9.88308E-06,NO,YES,NO,0.2,0,0,0,0,0,0,NALL
tig00005705,2,1,86695,1.15347E-05,NO,YES,NO,0.2,0,0,0,0,0,0,NALL
tig00006063,1,1,54326,1.84074E-05,NO,YES,NO,0.2,0,0,0,0,0,0,NALL
tig00006258,1,1,38232,2.61561E-05,NO,YES,NO,0.2,0,0,0,0,0,0,NALL
tig00006331,1,1,39294,2.54492E-05,NO,YES,NO,0.2,0,0,0,0,0,0,NALL
tig00009788,1,1,28833,3.46825E-05,NO,YES,NO,0.2,0,0,0,0,0,0,NALL
tig00003541,5,4,29391,0.000136096,YES,YES,NO,0.166666667,0,0,0,1.166666667,0,0,NALL
tig00005442,4,2,100318,1.99366E-05,NO,YES,NO,0.166666667,0,0,0,0.166666667,0,0,NALL
tig00008947,2,1,34984,2.85845E-05,NO,YES,NO,0.166666667,0,0,0,0.166666667,0,0,NALL
tig00003425,1,1,35496,2.81722E-05,NO,YES,NO,0.166666667,0,0,0,0,0,0,NALL
tig00005354,2,1,122550,8.15993E-06,NO,YES,NO,0.166666667,0,0,0,0,0,0,NALL
tig00005614,2,1,110341,9.06281E-06,NO,YES,NO,0.166666667,0,0,0,0,0,0,NALL
tig00005682,1,1,104317,9.58617E-06,NO,YES,NO,0.166666667,0,0,0,0,0,0,NALL
tig00005915,4,1,58669,1.70448E-05,NO,YES,NO,0.166666667,0,0,0,0,0,0,NALL
tig00000110,3,3,30886,9.71314E-05,YES,YES,NO,0.142857143,0,0,0,1,0,0,NALL
tig00001136,1,1,42791,2.33694E-05,NO,YES,NO,0.142857143,0,0,0,0,0,0,NALL
tig00001158,1,1,28384,3.52311E-05,NO,YES,NO,0.142857143,0,0,0,0,0,0,NALL
tig00001363,2,1,40637,2.46081E-05,NO,YES,NO,0.125,0,0,0,0.125,0,0,NALL
tig00000304,3,3,35599,8.4272E-05,YES,YES,NO,0.125,0,0,0,0,0,0,NALL
tig00005802,1,1,63318,1.57933E-05,NO,YES,NO,0.125,0,0,0,0,0,0,NALL
tig00009648,1,1,223517,4.47393E-06,NO,YES,NO,0.125,0,0,0,0,0,0,NALL
tig00003569,1,1,25894,3.8619E-05,NO,YES,NO,0.111111111,0,0,0,0,0,0,NALL
